No.;Time;Source;Destination;Protocol;Length;Info;;;;;;;;;;time2;time1;delay;delay2;delay1;jitter
8;2.582.199;192.168.100.20;52.139.250.253;TLSv1.2;154;Application Data;;;;;;;;;;2.619.998;2.582.199;37.799;32.056;37.799;-5.743
24;2.619.998;52.139.250.253;192.168.100.20;TLSv1.2;225;Application Data;;;;;;;;;;2.652.054;2.619.998;32.056;14.574;32.056;-17.482
26;2.652.054;192.168.100.20;13.107.4.52;TCP;66;63991  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;;;;;;;;2.666.628;2.652.054;14.574;27.652;14.574;13.078
30;2.666.628;192.168.100.20;52.139.250.253;TCP;54;63930  >  443 [ACK] Seq=101 Ack=172 Win=512 Len=0;;;;;;;;;;2.694.280;2.666.628;27.652;82;27.652;-27.570
39;2.694.280;13.107.4.52;192.168.100.20;TCP;66;80  >  63991 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 WS=256 SACK_PERM=1;;;;;;;;;;2.694.362;2.694.280;82;223;82;141
40;2.694.362;192.168.100.20;13.107.4.52;TCP;54;63991  >  80 [ACK] Seq=1 Ack=1 Win=131072 Len=0;;;;;;;;;;2.694.585;2.694.362;223;16.018;223;15.795
41;2.694.585;192.168.100.20;13.107.4.52;HTTP;208;GET /connecttest.txt HTTP/1.1 ;;;;;;;;;;2.710.603;2.694.585;16.018;2.246;16.018;-13.772
42;2.710.603;13.107.4.52;192.168.100.20;TCP;54;80  >  63991 [ACK] Seq=1 Ack=155 Win=525056 Len=0;;;;;;;;;;2.712.849;2.710.603;2.246;46;2.246;-2.200
43;2.712.849;13.107.4.52;192.168.100.20;TCP;54;[TCP Previous segment not captured] 80  >  63991 [FIN, ACK] Seq=513 Ack=155 Win=525056 Len=0;;;;;;;;;;2.712.895;2.712.849;46;17.074;46;17.028
44;2.712.895;192.168.100.20;13.107.4.52;TCP;54;[TCP Dup ACK 40#1] 63991  >  80 [ACK] Seq=155 Ack=1 Win=131072 Len=0;;;;;;;;;;2.729.969;2.712.895;17.074;124;17.074;-16.950
45;2.729.969;13.107.4.52;192.168.100.20;TCP;566;[TCP Out-Of-Order] 80  >  63991 [PSH, ACK] Seq=1 Ack=155 Win=525056 Len=512;;;;;;;;;;2.730.093;2.729.969;124;123;124;-1
46;2.730.093;192.168.100.20;13.107.4.52;TCP;54;63991  >  80 [ACK] Seq=155 Ack=514 Win=130560 Len=0;;;;;;;;;;2.730.216;2.730.093;123;14.906;123;14.783
47;2.730.216;192.168.100.20;13.107.4.52;TCP;54;63991  >  80 [FIN, ACK] Seq=155 Ack=514 Win=130560 Len=0;;;;;;;;;;2.745.122;2.730.216;14.906;12.112.443;14.906;12.097.537
48;2.745.122;13.107.4.52;192.168.100.20;TCP;56;80  >  63991 [ACK] Seq=514 Ack=156 Win=525056 Len=0;;;;;;;;;;14.857.565;2.745.122;12.112.443;32.073;12.112.443;-12.080.370
75;14.857.565;192.168.100.20;52.139.250.253;TLSv1.2;97;Application Data;;;;;;;;;;14.889.638;14.857.565;32.073;45.637;32.073;13.564
76;14.889.638;52.139.250.253;192.168.100.20;TLSv1.2;228;Application Data;;;;;;;;;;14.935.275;14.889.638;45.637;27.601.819;45.637;27.556.182
77;14.935.275;192.168.100.20;52.139.250.253;TCP;54;63922  >  443 [ACK] Seq=44 Ack=175 Win=507 Len=0;;;;;;;;;;42.537.094;14.935.275;27.601.819;124;27.601.819;-27.601.695
100;42.537.094;117.18.237.29;192.168.100.20;TCP;54;80  >  63988 [ACK] Seq=1 Ack=1 Win=288 Len=0;;;;;;;;;;42.537.218;42.537.094;124;;;
101;42.537.218;192.168.100.20;117.18.237.29;TCP;54;[TCP ACKed unseen segment] 63988  >  80 [ACK] Seq=1 Ack=2 Win=509 Len=0;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;total delay;39.955.019;;total jitter;-37.675
;;;;;;;;;;;;;;;;;rata2 delay;359955,1261;;rata2 jitter;-339,4144144
